NDR 1 Radio MV Neubrandenburg
WDR 5
Radio BOB! (Schleswig-Holstein) Nord/West
Radio Charivari Würzburg
SWR4 Baden-Württemberg Baden Radio
Radio Bamberg
SWR2 Baden-Württemberg
Radio Ramasuri
NDR 1 Niedersachsen Braunschweig
Radio 8
HoRadS
Deutschlandfunk Kultur
Radio TON Hohenlohe
Deutschlandfunk (Dlf)
SR 2 Kulturradio
Deutschlandfunk Kultur
Deutschlandfunk Kultur
Radio Charivari Würzburg
SWR4 Rheinland-Pfalz Radio Mainz
NDR Info Niedersachsen
Autokino Husum
NDR Info Mecklenburg-Vorpommern
radio TOP 40
Landeswelle Thüringen Süd
NDR Info Niedersachsen
WDR 5
NDR 1 Niedersachsen Hannover
Film-Begleitton
Deutschlandfunk (Dlf)
Deutschlandfunk Kultur
Radio Bamberg
Bayern 2 Südbayern
Deutschlandfunk (Dlf)
Radio Nordseewelle
Radio Kettig
beach f.m.
NDR Info Niedersachsen
Radio Teddy Thüringen
MDR Sachsen Chemnitz
Weill FM
80s80s MV West
Landeswelle Thüringen Nord
WDR 3
WDR 5
TOP FM Ost
rbb 88.8
radio TOP 40
Radio BOB! (Hessen)
N-JOY
Deutschlandfunk Kultur
MDR Aktuell
MDR Aktuell
SWR2 Baden-Württemberg
apollo radio
MDR Sachsen Leipzig
NDR Info Niedersachsen
Radio BOB! (Schleswig-Holstein) Mitte
NDR 1 Welle Nord Heide
Deutschlandfunk Kultur
hr1
N-JOY
BAYERN 1 Franken
hr-iNFO
hr3
Radio Wein Welle
NDR 1 Radio MV Vorpommern
BR-Klassik
89.0 RTL
Radio 2Day
Bayernwelle Südost Berchtesgadener Land
Radio Trausnitz
BAYERN 1 Oberbayern
Deutschlandfunk Kultur
SWR4 Baden-Württemberg Bodensee Radio
SWR4 Baden-Württemberg Radio Tübingen
MDR JUMP
NRW1
SWR4 Baden-Württemberg Radio Tübingen
SWR4 Rheinland-Pfalz Radio Mainz
Radio Fips
Film-Begleitton
Film-Begleitton
Film-Begleitton
Bayern 2 Südbayern
SR 3 Saarlandwelle
BAYERN 1 Schwaben
Radio BOB! (Schleswig-Holstein) Nord/West
Deutschlandfunk Kultur
Radio Sauerland
Deutschlandfunk (Dlf)
SWR1 Baden-Württemberg
Radio 8
Hitradio antenne 1 Heilbronn
R.SA Leipzig
rbb radioeins Frankfurt
R.SA Dresden
Radio WSW
Freies Radio Freudenstadt
Landeswelle Thüringen Mitte
NDR 2 Niedersachsen
NDR Kultur
Deutschlandfunk (Dlf)
SWR2 Baden-Württemberg
Radio BLAU
apollo radio
SWR1 Baden-Württemberg
89.2 Radio Potsdam
Deutschlandfunk (Dlf)
Radio Zwickau
Radio Eins
BAYERN 1 Oberbayern
Deutschlandfunk (Dlf)
Deutschlandfunk (Dlf)
MDR Aktuell
SR 1
Bremen Eins
NRW1
Bayernwelle Südost Berchtesgadener Land
Unser Radio Regen
RSA Radio Oberallgäu
Bayern 2 Südbayern
Deutschlandfunk (Dlf)
hr3
Hitradio antenne 1 Reutlingen
Deutschlandfunk Kultur
Antenne Unna
NRW1
NE-WS 89.4
MDR Kultur
Sputnik (MDR)
Radio 8
Radio 21 Mitte
L'UniCo FM
SWR2 Rheinland-Pfalz
SWR1 Baden-Württemberg
hr3
Deutschlandfunk (Dlf)
Bayern 2 Südbayern
104.6 RTL
N-JOY
Ems-Vechte-Welle
big FM Baden-Württemberg
NDR 1 Welle Nord Norderstedt/Hamburg
MDR Aktuell
Hitradio antenne 1 Heilbronn
Deutschlandfunk Kultur
Bayern 2 Nordbayern
MDR Aktuell
R.SA Chemnitz
BFBS Radio 2
NDR 1 Welle Nord Flensburg
Cityradio Homburg
MDR Aktuell
Bayern 2 Nordbayern
MDR JUMP
WDR 5
bermuda.funk
SWR1 Baden-Württemberg
RadioAktiv
Radio Paradiso
Deutschlandfunk (Dlf)
Bayern 2 Nordbayern
big FM Baden-Württemberg
Deutschlandfunk Kultur
gong fm
hitradio.rt1 Nordschwaben
Unser Radio Passau
hr3
hr-iNFO
WDR 3
RPR 1. Mainz
SWR4 Baden-Württemberg Schwaben Radio
MDR JUMP
SWR1 Baden-Württemberg
SWR1 Rheinland-Pfalz
MDR Kultur

SWR1 Baden-Württemberg
BR24
hr-iNFO
TOP FM West
Radio Galaxy Amberg/Weiden
Radio 8
Energy Bremen Bremen
Deutschlandfunk (Dlf)
Klassik Radio
Radio Galaxy Passau
NDR Kultur
Radio Horeb
BR-Klassik
Radyo Metropol FM Hessen
NDR Kultur
SWR1 Rheinland-Pfalz
AFN Bavaria-The Eagle
SWR1 Baden-Württemberg
NRW1
MDR JUMP
Radio Eins
Radio 7 Ulm
NDR Kultur
WDR 5
BR24
ERF Jess
MDR Aktuell
CT das radio
Deutschlandfunk Kultur
Bayern 2 Nordbayern
SWR3 Rheinland-Pfalz/Rheinland
Film-Begleitton
planet radio
Deutschlandfunk (Dlf)
Deutschlandfunk Kultur
planet radio
Bayernwelle Südost Traunstein
SWR4 Baden-Württemberg Radio Stuttgart
Radio Unerhört
Radio Osnabrück
MDR Aktuell
BR24
Deutschlandfunk (Dlf)
Schlager Radio Mecklenburg-Vorpommern
NDR 1 Radio MV Vorpommern
Radio 21 Nordost
Radio 90.1
WDR 4 Bielefeld
MDR JUMP
Radio Teddy Berlin/Brandenburg
YOU FM (hr)
BAYERN 1 Niederbayern/Oberpfalz
BAYERN 1 Schwaben
BR-Klassik
Radio Alpenwelle
MDR JUMP
hitradio.rt1 Südschwaben
NDR Kultur
Lohro
Deutschlandfunk Kultur
Film-Begleitton
Film-Begleitton
Radio RoSt
NDR 90.3
Deutschlandfunk (Dlf)
WDR 5
Donau 3 FM Günzburg
AFN Bavaria-The Eagle
SR Unser Ding
Deutschlandfunk (Dlf)
Radio Cottbus
Radio 8
SWR1 Baden-Württemberg
Radio Charivari Würzburg
*Posterity
Inn-Salzach-Welle
Radio 8
BAYERN 3
Radio Galaxy Oberfranken
BAYERN 1 Oberbayern
Klassik Radio
SWR2 Baden-Württemberg
SWR4 Baden-Württemberg Franken Radio
MDR JUMP
SWR2 Baden-Württemberg
NDR 1 Niedersachsen Braunschweig
NDR Info Niedersachsen
SWR2 Rheinland-Pfalz
Radio 90.vier
105.9 Radio Paradiso
YOU FM (hr)
NDR 1 Welle Nord Heide
DasDing (SWR)
Hitradio Ohr
big FM Baden-Württemberg
MDR Aktuell
Schlager Radio Thüringen
NDR 1 Radio MV Neubrandenburg
Radio Primaton
Radio BOB! (Hessen)
hr4 Mittelhessen
Sputnik (MDR)
Bayern 2 Südbayern
MDR Aktuell
SWR4 Rheinland-Pfalz Radio Kaiserslautern
Film-Begleitton
Radio Nordseewelle Ostfriesland
Kirchenradio Jüterbog
SWR1 Baden-Württemberg
WDR 5
R.SA Chemnitz
hr1
Radio Brocken Anhalt
Deutschlandfunk (Dlf)
Radio Teddy Thüringen
Deutschlandfunk Kultur
SWR3 Rheinland-Pfalz/Rheinland
BAYERN 1 Schwaben
BAYERN 1 Franken
88vier
Deutschlandfunk Kultur
WDR 4 Köln
NDR 2 Schleswig-Holstein
radioWeser.tv Bremerhaven
NDR Info Niedersachsen
Radio Frankfurt 95.1
radio TOP 40
YOU FM (hr)
Radio Erzgebirge
Deutschlandfunk Kultur
NDR Kultur
NDR Info Schleswig-Holstein
Radio MK Nord
radio TOP 40
SWR1 Rheinland-Pfalz
SWR1 Baden-Württemberg
Radio SAW Harz
Radio Herne
DasDing (SWR)
Camp FM
BAYERN 1 Oberbayern
Radio Primavera
NDR 1 Welle Nord Flensburg
MDR Aktuell
Antenne Thüringen Mitte
big FM Baden-Württemberg
NDR 1 Niedersachsen Hannover/Messejournal
Radio Rüsselsheim
DasDing (SWR)
BB Radio Brandenburg
Radio Teddy Thüringen
BAYERN 1 Mainfranken
Radio Leipzig
BAYERN 1 Schwaben
N-JOY
Radio Zwickau
Radio Q
SWR1 Baden-Württemberg
NDR 1 Radio MV Rostock
hr1
egoFM
N-JOY
BAYERN 3
BAYERN 1 Oberbayern
YOU FM (hr)
R.SA Chemnitz
Deutschlandfunk Kultur
MDR Aktuell
Deutschlandfunk (Dlf)
ALEX RADIO
SWR4 Rheinland-Pfalz Radio Ludwigshafen
MDR Aktuell
radio TOP 40
Radio Dresden
NDR Info Niedersachsen
R.SA Leipzig
Klassik Radio Bayern
RPR 1. Ludwigshafen
BR24
SWR1 Rheinland-Pfalz
Antenne Brandenburg Prenzlau
DasDing (SWR)
NDR 1 Niedersachsen Oldenburg
YOU FM (hr)
MDR JUMP
MDR Aktuell
SWR2 Baden-Württemberg
MDR Sachsen-Anhalt Halle
hr3
MDR Aktuell
planet radio
SWR4 Baden-Württemberg Radio Südbaden
BFBS Radio 2
Radio 91.2
MDR Aktuell
BAYERN 1 Niederbayern/Oberpfalz
R.SA Leipzig
SWR3 Baden. die Pfalz und Rhein-Neckar
SWR2 Baden-Württemberg
SWR3 Alb/Bodensee
N-JOY
Radio Bonn/Rhein-Sieg
hr-iNFO
Deutschlandfunk Kultur
Lernradio
MDR Aktuell
NDR 1 Niedersachsen Lüneburg
SWR4 Baden-Württemberg Bodensee Radio
DasDing (SWR)
Deutschlandfunk (Dlf)
Deutschlandfunk (Dlf)
SR 2 Kulturradio
Deutschlandfunk (Dlf)
NRW1
N-JOY
MDR Aktuell
NDR 1 Welle Nord Kiel
94.3 rs2 Cottbus + Lausitz
Deutschlandfunk (Dlf)
Deutschlandfunk (Dlf)
Radio Leipzig
BAYERN 1 Oberbayern
Film-Begleitton
Film-Begleitton
Film-Begleitton
Camp FM
Radio Oberland
SWR4 Rheinland-Pfalz Radio Mainz
Berliner Rundfunk 91.4 Berlin
BAYERN 1 Franken
Die neue Welle Pforzheim
Die neue Welle Freudenstadt
Radio Erft
MDR Aktuell
R.SA Dresden
N-JOY
MDR JUMP
SWR Aktuell
N-JOY
N-JOY
DasDing (SWR)
hr-iNFO
Deutschlandfunk Kultur
Bayern 2 Südbayern
Deutschlandfunk (Dlf)
Radio MK Nord
Radio Ennepe Ruhr Nord-Kreis
Antenne Düsseldorf
R.SA Chemnitz
Deutschlandfunk Kultur
BAYERN 3
NDR Kultur
Radio BOB! (Schleswig-Holstein) Ost
Film-Begleitton
SWR3 Rheinland-Pfalz/Rheinland
Schlager Radio Lausitz
Deutschlandfunk Kultur
MDR Aktuell
Energy Berlin
Bayern 2 Südbayern
SWR4 Baden-Württemberg Franken Radio
YOU FM (hr)
Antenne Zweibrücken
Deutschlandfunk Kultur
Radio 90.vier
Deutschlandfunk (Dlf)
Radio Galaxy Aschaffenburg
N-JOY
DasDing (SWR)
91.7 ODERWELLE /Radio Slubfurt
Energy Berlin
rbb Kultur
DasDing (SWR)
Antenne Bergstraße
Radio Chemnitz
BFBS Germany
Byte FM
917xfm
WDR 4 Siegen
Radio K.W. Moers
MDR Thüringen Suhl
WDR 3
Radio Herford
Energy Sachsen Dresden
Radio Teddy Hessen
Klassik Radio
Klassik Radio
Radio Galaxy Passau
Radio Alpenwelle
SWR2 Baden-Württemberg
Power Radio
WDR 2 Bielefeld
SWR2 Baden-Württemberg
WDR 2 Wuppertal
Radio X
Radio Trausnitz
MDR JUMP
R.SA
NDR Kultur
NDR 1 Niedersachsen Lüneburg
Deutschlandfunk Kultur
Radio Argovia
BAYERN 1 Schwaben
Radio Euskirchen
SR 1
NDR 2 Schleswig-Holstein
rbb Fritz
hr4 Nord-Osthessen
WDR 4 Aachen
SWR1 Baden-Württemberg
Radio 21 Nordost
Radio Kettig
Deutschlandfunk Kultur
Radio BOB! (Schleswig-Holstein) Nord/West
Radio PSR Chemnitz
Radio Alpenwelle
SWR2 Rheinland-Pfalz
NRW1
Bayern 2 Südbayern
WDR 5
Deutschlandfunk (Dlf)
Radio SRF 1 Ostschweiz
RSA Radio Oberallgäu
Deutschlandfunk Kultur
BAYERN 1 Niederbayern/Oberpfalz
Klassik Radio Bayern
Radio Bamberg
Radius 92.1
NDR 2 Niedersachsen
Antenne Thüringen Süd
Radio Cottbus
Bremen NEXT
harmony.fm
SWR2 Rheinland-Pfalz
Deutschlandfunk Kultur
hr-iNFO
SR 2 Kulturradio
MDR Sachsen Dresden
Bayern 2 Südbayern
Bayern 2 Südbayern
Klassik Radio Bayern
Radio Eins
BR-Klassik
Radio Duisburg
SWR3 Württemberg
BAYERN 1 Mainfranken
Radio RSG
Deutschlandfunk (Dlf)
Ostseewelle Ost
Deutschlandfunk Kultur
NRW1
Radio Charivari Rosenheim
N-JOY
Bayern 2 Nordbayern
MDR Sachsen-Anhalt Halle
R.SA Chemnitz
SR 1
NDR Info Hamburg
rbb Inforadio
YOU FM (hr)
WDR 2 Siegen
BAYERN 1 Schwaben
R.SA Chemnitz
sunshine live Rostock
MDR Aktuell
Radio Horeb München
Radio München
Bayern 2 Südbayern
Radio BOB! (Hessen)
Radio BOB! (Hessen)
Radio LORA
CRM 92.4
Münchener Kirchenradio
Radio Feierwerk
rbb Kultur
SWR1 Rheinland-Pfalz
Hockenheimring Radio 92.4
SWR1 Baden-Württemberg
NDR 1 Niedersachsen Osnabrück
Woinemer Woinachtsradio
SWR3 Württemberg
Radio BOB! (Schleswig-Holstein) Nord/West
Radio Hockenheimring
Vogtland Radio
SWR1 Baden-Württemberg
SWR2 Baden-Württemberg
Radio MK Nord
DasDing (SWR)
NDR 2 Mecklenburg-Vorpommern
NDR Info Schleswig-Holstein
radioWeser.tv Bremen
NRW1
Radio Rheinwelle 92.5
N-JOY
SWR1 Baden-Württemberg
radio hbw
MDR Thüringen Erfurt
N-JOY
Antenne Bayern
SWR2 Baden-Württemberg
Radio Charivari Würzburg
Radio BOB! (Hessen)
Deutschlandfunk Kultur
NDR 2 Niedersachsen
Cityradio Sankt Wendel
SWR1 Baden-Württemberg
NRW1
big FM Saarland
Radio WAF
SWR3 Rheinland-Pfalz/Rheinland
Radio SAW Anhalt
Deutschlandfunk (Dlf)
Camp FM
Inn-Salzach-Welle
Deutschlandfunk Kultur
Radio Galaxy Oberfranken
Deutschlandfunk (Dlf)
hr3
RSA Radio Bodensee
Radio Charivari Regensburg Cham
NDR 1 Niedersachsen Braunschweig
NDR Info Schleswig-Holstein
Radio Ennepe Ruhr Nord-Kreis
big FM Baden-Württemberg
Klassik Radio
N-JOY
WDR 3
Radio Rur
Deutschlandfunk (Dlf)
NDR 1 Radio MV Schwerin
SWR3 Rheinland-Pfalz/Rheinland
NDR 1 Niedersachsen Osnabrück
N-JOY
Serengeti Safari Radio
SWR3 Alb/Bodensee
SWR2 Baden-Württemberg
MDR Sachsen Chemnitz
BR24
BAYERN 1 Oberbayern
NDR Info Niedersachsen
Klassik Radio
N-JOY
rbb Inforadio
SWR4 Rheinland-Pfalz Radio Mainz
Radio Mülheim
MDR Sachsen-Anhalt Halle
MDR Thüringen Erfurt
LUX 92.9
Classic Rock Radio
SWR1 Baden-Württemberg
N-JOY
Radio Meilensteine
Radio 345
HitRadioN1
AREF
Camillo 92.9
Radio SRF 1 Ostschweiz
MDR Aktuell
N-JOY
Schwarzwald Radio
SWR1 Baden-Württemberg
Freies Sender-Kombinat (FSK)
Radio Teddy Mecklenburg-Vorpommern
Ostseewelle Ost
MDR Kultur
RSA Radio Oberallgäu
elDOradio
TOP FM Ost
Radio WMW
Bayern 2 Südbayern
harmony.fm
SWR2 Rheinland-Pfalz
MDR Sachsen Bautzen
hr2-kultur
DasDing (SWR)
antenne 1 Neckarburg Rock & Pop
NDR Info Niedersachsen
WDR 3
NRW1
Inn-Salzach-Welle
rbb Inforadio
Bayern 2 Nordbayern
BR-Klassik
BR-Klassik
BR-Klassik
BAYERN 3
NDR 1 Welle Nord Lübeck
Sputnik (MDR)
hr-iNFO
Rockland Radio Mannheim/Ludwigshafen
NDR 2 Schleswig-Holstein
Deutschlandfunk Kultur
Antenne Thüringen Ost
WDR 2 Bielefeld
N-JOY
SWR2 Baden-Württemberg
Weihnachtsradio
MDR Aktuell
Deutschlandfunk Kultur
BR-Klassik
Bayern 2 Südbayern
MDR Aktuell
Energy Sachsen Leipzig
SWR1 Baden-Württemberg
NRW1
SWR3 Rheinland-Pfalz/Rheinland
N-JOY
Power Radio
Deutschlandfunk Kultur
WDR 2 Rhein-Ruhr
NDR Kultur
SWR3 Rheinland-Pfalz/Rheinland
SWR4 Rheinland-Pfalz Radio Koblenz
MDR Thüringen Erfurt
Energy München
Radio Mainwelle
Radio Charivari Regensburg Neumarkt
extra-radio
NDR 2 Schleswig-Holstein
Radio Fantasy
delta radio Süd
Deutschlandfunk Kultur
Radio 21 Süd
N-JOY
SWR2 Rheinland-Pfalz
rbb Inforadio/Sorbisches Prog.
BAYERN 3
R.SA Chemnitz
SWR1 Baden-Württemberg
R.SA Chemnitz
BAYERN 3
N-JOY
Radio Brocken Halle
Radio Teddy Hessen
Radio 21 Mitte
SWR3 Rheinland-Pfalz/Rheinland
BAYERN 1 Franken
NDR 2 Mecklenburg-Vorpommern
radio TOP 40
WDR 2 Siegen
AFN Bavaria-The Eagle
Bayern 2 Südbayern
Jam FM
SWR4 Rheinland-Pfalz Radio Trier
Deutschlandfunk Kultur
MDR Thüringen Heiligenstadt
SWR3 Württemberg
ROCK ANTENNE Hamburg
Hessentagsradio 2018
NDR Info Niedersachsen
WDR 1LIVE
Veranstaltungsradio Pfingsttagung Bobengrün
Radio Ramasuri
Energy Nürnberg
Antenne Bayern
Radio Primaton
Klassik Radio
YOU FM (hr)
NDR 2 Niedersachsen
Radio BOB! (Schleswig-Holstein) Mitte
BAYERN 1 Oberbayern
SWR3 Rheinland-Pfalz/Rheinland
Radio Eins
MDR Aktuell
SWR1 Baden-Württemberg
N-JOY
Radio Hochstift
Radio Brocken Halle
MDR Sachsen Chemnitz
MDR Aktuell
hr2-kultur
NDR 1 Radio MV Vorpommern
Ostseewelle West
N-JOY
NRW1
Radio BOB! (Schleswig-Holstein) Hamburg
MDR Thüringen Suhl
planet radio
Radio Osnabrück
NDR 2 Niedersachsen
SWR2 Rheinland-Pfalz
80s80s MV Ost
radio TOP 40
SWR2 Baden-Württemberg
WDR 2 Siegen
SWR3 Baden. die Pfalz und Rhein-Neckar
Bremen Eins
Radio Teddy Hessen
WDR 5
WDR 4 Aachen
planet radio
hitradio.rt1 Südschwaben
Unser Radio Passau
Klassik Radio
YOU FM (hr)
Deutschlandfunk (Dlf)
Deutschlandfunk (Dlf)
MDR Sachsen Leipzig
SWR2 Rheinland-Pfalz
Sender KW
MDR Aktuell
Radio Ostfriesland
N-JOY
Schlager Radio Brandenburg-West
planet radio
Deutschlandfunk (Dlf)
YOU FM (hr)
BAYERN 1 Oberbayern
N-JOY
Deutschlandfunk (Dlf)
Deutschlandfunk (Dlf)
SWR4 Baden-Württemberg Radio Südbaden
NDR 2 Mecklenburg-Vorpommern
Radio Primaton
SWR2 Rheinland-Pfalz
MDR Aktuell
SWR4 Rheinland-Pfalz Radio Mainz
Radio Charivari Regensburg Neumarkt
extra-radio
BAYERN 3
Radio BOB! (Schleswig-Holstein) Nord/West
WDR 2 Münster
NDR 1 Radio MV Rostock
SWR3 Württemberg
SWR3 Württemberg
Antenne Mainz Bodenheim
Deutschlandfunk (Dlf)
NDR 2 Niedersachsen
Radio 21 Ost
harmony.fm
SWR4 Baden-Württemberg Schwaben Radio
Rockland Sachsen-Anhalt Mitte
Deutschlandfunk Kultur
Antenne Pfalz
MDR Aktuell
N-JOY
BAYERN 3
N-JOY
rbb Inforadio
Bayern 2 Südbayern
big FM Saarland
Ahrtalradio
Radio Bonn/Rhein-Sieg
NDR 1 Radio MV Vorpommern
WDR 2 Aachen
Deutschlandfunk (Dlf)
Deutschlandfunk Kultur
SWR3 Alb/Bodensee
Deutschlandfunk (Dlf)
hr1
Deutschlandfunk Kultur
94.3 rs2 Berlin + Umland
SWR3 Alb/Bodensee
NDR Kultur
Antenne Bethel
NDR 1 Radio MV Rostock
MDR Aktuell
WDR 3
Radio Lausitz
Radio RSG
Antenne Bethel
N-JOY
MDR Thüringen Erfurt
BAYERN 3
Power Radio
NDR Kultur
R.SA Chemnitz
Radio BLAU
Deutschlandfunk Kultur
hr1
apollo radio
Radio Cottbus
Deutschlandfunk (Dlf)
lulu.fm
Deutschlandfunk (Dlf)
MDR Sachsen Bautzen
Deutschlandfunk (Dlf)
Schülerradio Stadthagen
N-JOY
SWR4 Baden-Württemberg Schwaben Radio
Jazztime Nürnberg
Radio F
ROCK ANTENNE Bayern
SWR3 Baden. die Pfalz und Rhein-Neckar
Deutschlandfunk Kultur
SWR3 Württemberg
MDR Sachsen-Anhalt Magdeburg
Deutschlandfunk Kultur
SWR Maimarkt-Radio
NDR 1 Radio MV Vorpommern
hitradio.rt1 Neuburg-Schrobenhausen
Antenne Bayern
SWR4 Rheinland-Pfalz Radio Trier
NDR Kultur
Radio Vest
Radio ventex Raffelsberg
Cityradio Neunkirchen
Radio MK Nord
Deutschlandfunk (Dlf)
BAYERN 3
Deutschlandfunk Kultur
Radio FH
NDR Kultur
MDR Aktuell
Radio WAF
SWR1 Baden-Württemberg
Ostseewelle West
baden.fm
Antenne Trier
Radio BOB! (Hessen)
Deutschlandfunk Kultur
94.3 rs2 Frankfurt (Oder) + Oderland
MDR Aktuell
NDR 1 Welle Nord Lübeck
MDR Kultur
Klassik Radio
N-JOY
Radio Sauerland
Antenne Landau
BAYERN 3
BAYERN 1 Franken
SWR3 Rheinland-Pfalz/Rheinland
Deutschlandfunk Kultur
radio TOP 40
radio TOP 40
egoFM
BBC World Service
radio aktiv
N-JOY
MDR Sachsen-Anhalt Stendal
SWR2 Baden-Württemberg
Radio Herford
MDR Aktuell
Landeswelle Thüringen Ost
SWR3 Württemberg
SWR1 Rheinland-Pfalz
SWR4 Baden-Württemberg Franken Radio
Schlager Radio Thüringen
SWR4 Rheinland-Pfalz Radio Mainz
N-JOY
Radio Nordseewelle Wilhelmshaven/Jever
Radio WSW
R.SA Dresden
R.SA Leipzig
HAMBURG ZWEI
Deutschlandfunk Kultur
Radio Alpenwelle
NDR Info Niedersachsen/RB 5
Rockland Sachsen-Anhalt Nord
BB Radio Nord-Ost
TOP FM Ost
N-JOY
Kirchenfunk Meppen
BAYERN 1 Niederbayern/Oberpfalz
hr-iNFO
rbb radioeins Cottbus
WDR 3
SWR1 Baden-Württemberg
SWR1 Baden-Württemberg
SWR1 Baden-Württemberg
Radio Westfalica
Radio 21 Ost
NDR Kultur
Kirchenfunk Elze-Bennemühlen
MDR Aktuell
Radio SAW Halle
Radio Euroherz
Radio Frankfurt 95.1
N-JOY
SWR2 Rheinland-Pfalz
SWR2 Rheinland-Pfalz
MDR Aktuell
Radio Frankfurt 95.1
DRM+ Test
Deutschlandfunk Kultur
SWR4 Baden-Württemberg Radio Südbaden
MDR Aktuell
Pfarrradio Warsingsfehn
Power Radio
M’era Luna FM
Ems-Vechte-Welle
WDR 3
Deutschlandfunk Kultur
MDR Kultur
Adventsradio
Radio 21 Südwest
radio TOP 40
Radio Ramasuri
NDR Info Niedersachsen
BAYERN 3
BHeins
Deutschlandfunk Kultur
Power Radio
Deutschlandfunk Kultur
MDR Aktuell
YOU FM (hr)
BB Radio Nord-Ost
MDR Kultur
Vogtland Radio
Deutschlandfunk (Dlf)
Bremen Zwei
Radio Eins
Antenne Münster
Meer Radio
Radio IN
SWR1 Baden-Württemberg
MDR Kultur
Deutschlandfunk (Dlf)
Radyo Metropol FM Südwest
SWR2 Rheinland-Pfalz
SWR3 Württemberg
BR-Klassik
N-JOY
SR 3 Saarlandwelle
95.5 Charivari
hr2-kultur
Radio ZuSa
Deutschlandfunk (Dlf)
MDR Thüringen Gera
105.9 Radio Paradiso
Eifeler Radiotage
Deutschlandfunk Kultur
Deutschlandfunk (Dlf)
R.SA Chemnitz
Cosmo
Ahrtalradio
MDR Aktuell
MDR Aktuell
N-JOY
N-JOY
Radio Vest
Neckaralb Live
94.3 rs2 Cottbus + Lausitz
Radio SAW Magdeburg/Altmark
BAYERN 1 Mainfranken
BR-Klassik
hitradio.rt1 Nordschwaben
Ems-Vechte-Welle
Radio SRF 3
N-JOY
